type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
DEL	336	336	2	315	0.9941	0.5161	0.6795	19	toilvg	truth	s1	1
Total	491	491	2	828	0.9959	0.3723	0.542	33	toilvg	truth	s1	1
INS	201	201	0	467	1	0.3009	0.4626	33	toilvg	truth	s1	1
DEL	290	290	2	361	0.9932	0.4455	0.6151	33	toilvg	truth	s1	1
Total	467	467	0	852	1	0.3541	0.523	34	toilvg	truth	s1	1
INS	198	198	0	470	1	0.2964	0.4573	34	toilvg	truth	s1	1
DEL	269	269	0	382	1	0.4132	0.5848	34	toilvg	truth	s1	1
Total	378	378	0	941	1	0.2866	0.4455	35.4722	toilvg	truth	s1	1
INS	187	187	0	481	1	0.2799	0.4374	35.4722	toilvg	truth	s1	1
DEL	191	191	0	460	1	0.2934	0.4537	35.4722	toilvg	truth	s1	1
Total	325	325	0	994	1	0.2464	0.3954	38.0971	toilvg	truth	s1	1
INS	175	175	0	493	1	0.262	0.4152	38.0971	toilvg	truth	s1	1
DEL	150	150	0	501	1	0.2304	0.3745	38.0971	toilvg	truth	s1	1
Total	294	294	0	1025	1	0.2229	0.3645	40	toilvg	truth	s1	1
INS	161	161	0	507	1	0.241	0.3884	40	toilvg	truth	s1	1
DEL	133	133	0	518	1	0.2043	0.3393	40	toilvg	truth	s1	1
Total	216	216	0	1103	1	0.1638	0.2815	46.1698	toilvg	truth	s1	1
INS	120	120	0	548	1	0.1796	0.3045	46.1698	toilvg	truth	s1	1
DEL	96	96	0	555	1	0.1475	0.2571	46.1698	toilvg	truth	s1	1
Total	162	162	0	1157	1	0.1228	0.2187	58.863	toilvg	truth	s1	1
INS	72	72	0	596	1	0.1078	0.1946	58.863	toilvg	truth	s1	1
DEL	90	90	0	561	1	0.1382	0.2428	58.863	toilvg	truth	s1	1
Total	112	112	0	1207	1	0.0849	0.1565	69	toilvg	truth	s1	1
INS	42	42	0	626	1	0.0629	0.1184	69	toilvg	truth	s1	1
DEL	70	70	0	581	1	0.1075	0.1941	69	toilvg	truth	s1	1
Total	55	55	0	1264	1	0.0417	0.0801	77.6294	toilvg	truth	s1	1
INS	22	22	0	646	1	0.0329	0.0637	77.6294	toilvg	truth	s1	1
DEL	33	33	0	618	1	0.0507	0.0965	77.6294	toilvg	truth	s1	1
Total	1	1	0	1318	1	8e-04	0.0016	171.492	toilvg	truth	s1	1
INS	1	1	0	667	1	0.0015	0.003	171.492	toilvg	truth	s1	1
DEL	0	0	0	651	NA	0	NA	171.492	toilvg	truth	s1	1
Total	106	106	0	1213	1	0.0804	0.1488	0	svtyper	truth	s1	1
INS	0	0	0	668	NA	0	NA	0	svtyper	truth	s1	1
DEL	106	106	0	545	1	0.1628	0.28	0	svtyper	truth	s1	1
Total	106	106	0	1213	1	0.0804	0.1488	21.31	svtyper	truth	s1	1
INS	0	0	0	668	NA	0	NA	21.31	svtyper	truth	s1	1
DEL	106	106	0	545	1	0.1628	0.28	21.31	svtyper	truth	s1	1
Total	101	101	0	1218	1	0.0766	0.1423	31.46	svtyper	truth	s1	1
INS	0	0	0	668	NA	0	NA	31.46	svtyper	truth	s1	1
DEL	101	101	0	550	1	0.1551	0.2685	31.46	svtyper	truth	s1	1
Total	35	35	0	1284	1	0.0265	0.0516	60.25	svtyper	truth	s1	1
INS	0	0	0	668	NA	0	NA	60.25	svtyper	truth	s1	1
DEL	35	35	0	616	1	0.0538	0.1021	60.25	svtyper	truth	s1	1
