type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
INS	73	73	0	303	1	0.1941	0.3251	11.45576	bayestyper	calls	s1	1
DEL	2	2	0	454	1	0.0044	0.0088	11.45576	bayestyper	calls	s1	1
Total	62	62	0	770	1	0.0745	0.1387	16.731	bayestyper	calls	s1	1
INS	60	60	0	316	1	0.1596	0.2753	16.731	bayestyper	calls	s1	1
DEL	2	2	0	454	1	0.0044	0.0088	16.731	bayestyper	calls	s1	1
Total	61	61	0	771	1	0.0733	0.1366	99	bayestyper	calls	s1	1
INS	59	59	0	317	1	0.1569	0.2712	99	bayestyper	calls	s1	1
DEL	2	2	0	454	1	0.0044	0.0088	99	bayestyper	calls	s1	1
Total	397	397	0	435	1	0.4772	0.6461	0	toilvg	truth	s1	1
INS	143	143	0	233	1	0.3803	0.551	0	toilvg	truth	s1	1
DEL	254	254	0	202	1	0.557	0.7155	0	toilvg	truth	s1	1
Total	397	397	0	435	1	0.4772	0.6461	14	toilvg	truth	s1	1
INS	143	143	0	233	1	0.3803	0.551	14	toilvg	truth	s1	1
DEL	254	254	0	202	1	0.557	0.7155	14	toilvg	truth	s1	1
Total	362	362	0	470	1	0.4351	0.6064	32	toilvg	truth	s1	1
INS	137	137	0	239	1	0.3644	0.5342	32	toilvg	truth	s1	1
DEL	225	225	0	231	1	0.4934	0.6608	32	toilvg	truth	s1	1
Total	328	328	0	504	1	0.3942	0.5655	34	toilvg	truth	s1	1
INS	135	135	0	241	1	0.359	0.5283	34	toilvg	truth	s1	1
DEL	193	193	0	263	1	0.4232	0.5947	34	toilvg	truth	s1	1
Total	271	271	0	561	1	0.3257	0.4914	36	toilvg	truth	s1	1
INS	126	126	0	250	1	0.3351	0.502	36	toilvg	truth	s1	1
DEL	145	145	0	311	1	0.318	0.4825	36	toilvg	truth	s1	1
Total	233	233	0	599	1	0.28	0.4375	39	toilvg	truth	s1	1
INS	116	116	0	260	1	0.3085	0.4715	39	toilvg	truth	s1	1
DEL	117	117	0	339	1	0.2566	0.4084	39	toilvg	truth	s1	1
Total	190	190	0	642	1	0.2284	0.3719	41.4416	toilvg	truth	s1	1
INS	105	105	0	271	1	0.2793	0.4366	41.4416	toilvg	truth	s1	1
DEL	85	85	0	371	1	0.1864	0.3142	41.4416	toilvg	truth	s1	1
Total	167	167	0	665	1	0.2007	0.3343	56.83258	toilvg	truth	s1	1
INS	88	88	0	288	1	0.234	0.3793	56.83258	toilvg	truth	s1	1
DEL	79	79	0	377	1	0.1732	0.2953	56.83258	toilvg	truth	s1	1
Total	123	123	0	709	1	0.1478	0.2575	68.96003	toilvg	truth	s1	1
INS	66	66	0	310	1	0.1755	0.2986	68.96003	toilvg	truth	s1	1
DEL	57	57	0	399	1	0.125	0.2222	68.96003	toilvg	truth	s1	1
Total	76	76	0	756	1	0.0913	0.1673	75	toilvg	truth	s1	1
INS	44	44	0	332	1	0.117	0.2095	75	toilvg	truth	s1	1
DEL	32	32	0	424	1	0.0702	0.1312	75	toilvg	truth	s1	1
Total	42	42	0	790	1	0.0505	0.0961	100.5357	toilvg	truth	s1	1
INS	22	22	0	354	1	0.0585	0.1105	100.5357	toilvg	truth	s1	1
DEL	20	20	0	436	1	0.0439	0.0841	100.5357	toilvg	truth	s1	1
Total	0	0	0	832	NA	0	NA	221	toilvg	truth	s1	1
INS	0	0	0	376	NA	0	NA	221	toilvg	truth	s1	1
DEL	0	0	0	456	NA	0	NA	221	toilvg	truth	s1	1
Total	61	61	0	771	1	0.0733	0.1366	0	svtyper	truth	s1	1
INS	0	0	0	376	NA	0	NA	0	svtyper	truth	s1	1
DEL	61	61	0	395	1	0.1338	0.236	0	svtyper	truth	s1	1
Total	61	61	0	771	1	0.0733	0.1366	25.33	svtyper	truth	s1	1
INS	0	0	0	376	NA	0	NA	25.33	svtyper	truth	s1	1
DEL	61	61	0	395	1	0.1338	0.236	25.33	svtyper	truth	s1	1
Total	59	59	0	773	1	0.0709	0.1324	31.46	svtyper	truth	s1	1
INS	0	0	0	376	NA	0	NA	31.46	svtyper	truth	s1	1
DEL	59	59	0	397	1	0.1294	0.2291	31.46	svtyper	truth	s1	1
Total	10	10	0	822	1	0.012	0.0237	60.25	svtyper	truth	s1	1
INS	0	0	0	376	NA	0	NA	60.25	svtyper	truth	s1	1
DEL	10	10	0	446	1	0.0219	0.0429	60.25	svtyper	truth	s1	1
Total	0	0	0	832	NA	0	NA	147.94	svtyper	truth	s1	1
INS	0	0	0	376	NA	0	NA	147.94	svtyper	truth	s1	1
DEL	0	0	0	456	NA	0	NA	147.94	svtyper	truth	s1	1
Total	475	475	0	357	1	0.5709	0.7268	0	delly	truth	s1	1
INS	251	251	0	125	1	0.6676	0.8007	0	delly	truth	s1	1
DEL	224	224	0	232	1	0.4912	0.6588	0	delly	truth	s1	1
Total	475	475	0	357	1	0.5709	0.7268	5	delly	truth	s1	1
INS	251	251	0	125	1	0.6676	0.8007	5	delly	truth	s1	1
DEL	224	224	0	232	1	0.4912	0.6588	5	delly	truth	s1	1
Total	272	272	0	560	1	0.3269	0.4927	7	delly	truth	s1	1
INS	157	157	0	219	1	0.4176	0.5892	7	delly	truth	s1	1
DEL	115	115	0	341	1	0.2522	0.4028	7	delly	truth	s1	1
Total	161	161	0	671	1	0.1935	0.3243	10	delly	truth	s1	1
INS	94	94	0	282	1	0.25	0.4	10	delly	truth	s1	1
DEL	67	67	0	389	1	0.1469	0.2562	10	delly	truth	s1	1
Total	98	98	0	734	1	0.1178	0.2108	15	delly	truth	s1	1
INS	46	46	0	330	1	0.1223	0.2179	15	delly	truth	s1	1
DEL	52	52	0	404	1	0.114	0.2047	15	delly	truth	s1	1
Total	56	56	0	776	1	0.0673	0.1261	26	delly	truth	s1	1
INS	20	20	0	356	1	0.0532	0.101	26	delly	truth	s1	1
DEL	36	36	0	420	1	0.0789	0.1463	26	delly	truth	s1	1
Total	1	1	0	831	1	0.0012	0.0024	64	delly	truth	s1	1
INS	1	1	0	375	1	0.0027	0.0054	64	delly	truth	s1	1
DEL	0	0	0	456	NA	0	NA	64	delly	truth	s1	1
Total	407	407	2	425	0.9951	0.4892	0.6559	0	bayestyper	truth	s1	1
INS	216	216	0	160	1	0.5745	0.7298	0	bayestyper	truth	s1	1
DEL	191	191	2	265	0.9896	0.4189	0.5886	0	bayestyper	truth	s1	1
Total	407	407	2	425	0.9951	0.4892	0.6559	3.10336	bayestyper	truth	s1	1
INS	216	216	0	160	1	0.5745	0.7298	3.10336	bayestyper	truth	s1	1
DEL	191	191	2	265	0.9896	0.4189	0.5886	3.10336	bayestyper	truth	s1	1
Total	358	358	0	474	1	0.4303	0.6017	11.54676	bayestyper	truth	s1	1
INS	200	200	0	176	1	0.5319	0.6944	11.54676	bayestyper	truth	s1	1
DEL	158	158	0	298	1	0.3465	0.5147	11.54676	bayestyper	truth	s1	1
Total	349	349	0	483	1	0.4195	0.5911	99	bayestyper	truth	s1	1
INS	194	194	0	182	1	0.516	0.6807	99	bayestyper	truth	s1	1
DEL	155	155	0	301	1	0.3399	0.5074	99	bayestyper	truth	s1	1
Total	193	193	0	660	1	0.2263	0.3691	0	toilvg	calls	s2	1
INS	100	100	0	273	1	0.2681	0.4228	0	toilvg	calls	s2	1
DEL	93	93	0	387	1	0.1938	0.3247	0	toilvg	calls	s2	1
Total	193	193	0	660	1	0.2263	0.3691	13	toilvg	calls	s2	1
INS	100	100	0	273	1	0.2681	0.4228	13	toilvg	calls	s2	1
DEL	93	93	0	387	1	0.1938	0.3247	13	toilvg	calls	s2	1
Total	169	169	0	684	1	0.1981	0.3307	32	toilvg	calls	s2	1
INS	96	96	0	277	1	0.2574	0.4094	32	toilvg	calls	s2	1
