type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
DEL	37	37	0	632	1	0.0553	0.1048	25	delly	truth	s0	1
INV	0	0	0	643	NA	0	NA	25	delly	truth	s0	1
Total	2	2	0	1987	1	0.001	0.002	53	delly	truth	s0	1
INS	1	1	0	676	1	0.0015	0.003	53	delly	truth	s0	1
DEL	1	1	0	668	1	0.0015	0.003	53	delly	truth	s0	1
INV	0	0	0	643	NA	0	NA	53	delly	truth	s0	1
Total	763	763	496	1226	0.606	0.3836	0.4698	0	bayestyper	truth	s0	1
INS	290	290	142	387	0.6713	0.4284	0.523	0	bayestyper	truth	s0	1
DEL	211	211	67	458	0.759	0.3154	0.4456	0	bayestyper	truth	s0	1
INV	262	262	287	381	0.4772	0.4075	0.4396	0	bayestyper	truth	s0	1
Total	763	763	496	1226	0.606	0.3836	0.4698	1	bayestyper	truth	s0	1
INS	290	290	142	387	0.6713	0.4284	0.523	1	bayestyper	truth	s0	1
DEL	211	211	67	458	0.759	0.3154	0.4456	1	bayestyper	truth	s0	1
INV	262	262	287	381	0.4772	0.4075	0.4396	1	bayestyper	truth	s0	1
Total	746	746	482	1243	0.6075	0.3751	0.4638	2	bayestyper	truth	s0	1
INS	289	289	140	388	0.6737	0.4269	0.5226	2	bayestyper	truth	s0	1
DEL	206	206	65	463	0.7601	0.3079	0.4383	2	bayestyper	truth	s0	1
INV	251	251	277	392	0.4754	0.3904	0.4287	2	bayestyper	truth	s0	1
Total	676	676	383	1313	0.6383	0.3399	0.4436	3	bayestyper	truth	s0	1
INS	280	280	135	397	0.6747	0.4136	0.5128	3	bayestyper	truth	s0	1
DEL	197	197	46	472	0.8107	0.2945	0.4321	3	bayestyper	truth	s0	1
INV	199	199	202	444	0.4963	0.3095	0.3812	3	bayestyper	truth	s0	1
Total	607	607	319	1382	0.6555	0.3052	0.4165	4	bayestyper	truth	s0	1
INS	270	270	130	407	0.675	0.3988	0.5014	4	bayestyper	truth	s0	1
DEL	190	190	36	479	0.8407	0.284	0.4246	4	bayestyper	truth	s0	1
INV	147	147	153	496	0.49	0.2286	0.3118	4	bayestyper	truth	s0	1
Total	526	526	231	1463	0.6948	0.2645	0.3831	11	bayestyper	truth	s0	1
INS	256	256	130	421	0.6632	0.3781	0.4816	11	bayestyper	truth	s0	1
DEL	184	184	36	485	0.8364	0.275	0.4139	11	bayestyper	truth	s0	1
INV	86	86	65	557	0.5695	0.1337	0.2166	11	bayestyper	truth	s0	1
Total	486	486	185	1503	0.7243	0.2443	0.3654	99	bayestyper	truth	s0	1
INS	249	249	130	428	0.657	0.3678	0.4716	99	bayestyper	truth	s0	1
DEL	177	177	36	492	0.831	0.2646	0.4014	99	bayestyper	truth	s0	1
INV	60	60	19	583	0.7595	0.0933	0.1662	99	bayestyper	truth	s0	1
Total	533	548	184	1468	0.7434	0.2718	0.3981	0	toilvg	calls	s1	1
INS	161	162	52	518	0.7559	0.2382	0.3622	0	toilvg	calls	s1	1
DEL	229	235	89	432	0.7201	0.3523	0.4731	0	toilvg	calls	s1	1
INV	143	151	43	518	0.7688	0.2257	0.349	0	toilvg	calls	s1	1
Total	533	548	184	1468	0.7434	0.2718	0.3981	6	toilvg	calls	s1	1
INS	161	162	52	518	0.7559	0.2382	0.3622	6	toilvg	calls	s1	1
DEL	229	235	89	432	0.7201	0.3523	0.4731	6	toilvg	calls	s1	1
INV	143	151	43	518	0.7688	0.2257	0.349	6	toilvg	calls	s1	1
Total	485	497	163	1519	0.7485	0.2465	0.3709	33	toilvg	calls	s1	1
INS	159	160	48	520	0.7681	0.2353	0.3602	33	toilvg	calls	s1	1
DEL	187	191	75	476	0.7137	0.2864	0.4088	33	toilvg	calls	s1	1
INV	139	146	40	523	0.7765	0.2182	0.3407	33	toilvg	calls	s1	1
Total	470	482	153	1534	0.7544	0.2391	0.3631	34	toilvg	calls	s1	1
INS	156	157	46	523	0.7723	0.2309	0.3555	34	toilvg	calls	s1	1
DEL	175	179	67	488	0.7231	0.2684	0.3915	34	toilvg	calls	s1	1
INV	139	146	40	523	0.7765	0.2182	0.3407	34	toilvg	calls	s1	1
Total	401	407	111	1609	0.7832	0.2019	0.321	37	toilvg	calls	s1	1
INS	138	139	35	541	0.7977	0.2044	0.3254	37	toilvg	calls	s1	1
DEL	131	131	44	536	0.7486	0.1964	0.3112	37	toilvg	calls	s1	1
INV	132	137	32	532	0.8049	0.2048	0.3265	37	toilvg	calls	s1	1
Total	347	353	86	1663	0.8014	0.1751	0.2874	39.7746	toilvg	calls	s1	1
INS	130	131	29	549	0.8176	0.1926	0.3118	39.7746	toilvg	calls	s1	1
DEL	101	101	29	566	0.7769	0.1514	0.2534	39.7746	toilvg	calls	s1	1
INV	116	121	28	548	0.8056	0.1809	0.2955	39.7746	toilvg	calls	s1	1
Total	299	304	62	1712	0.8283	0.1508	0.2551	42.96945	toilvg	calls	s1	1
INS	113	114	21	566	0.8433	0.1676	0.2796	42.96945	toilvg	calls	s1	1
DEL	78	78	17	589	0.8211	0.1169	0.2047	42.96945	toilvg	calls	s1	1
INV	108	112	24	557	0.8182	0.1674	0.2779	42.96945	toilvg	calls	s1	1
Total	238	240	53	1776	0.8179	0.119	0.2078	56	toilvg	calls	s1	1
INS	88	89	14	591	0.8627	0.1309	0.2273	56	toilvg	calls	s1	1
DEL	72	72	17	595	0.809	0.1079	0.1904	56	toilvg	calls	s1	1
INV	78	79	22	590	0.78	0.1181	0.2051	56	toilvg	calls	s1	1
Total	182	184	40	1832	0.8198	0.0913	0.1643	67	toilvg	calls	s1	1
INS	69	70	9	610	0.8846	0.1029	0.1844	67	toilvg	calls	s1	1
DEL	60	60	14	607	0.8108	0.09	0.162	67	toilvg	calls	s1	1
INV	53	54	17	615	0.7571	0.0807	0.1459	67	toilvg	calls	s1	1
Total	129	131	16	1885	0.8897	0.065	0.1211	74.40554	toilvg	calls	s1	1
INS	59	60	3	620	0.9516	0.0882	0.1614	74.40554	toilvg	calls	s1	1
DEL	31	31	4	636	0.8857	0.0465	0.0884	74.40554	toilvg	calls	s1	1
INV	39	40	9	629	0.8125	0.0598	0.1114	74.40554	toilvg	calls	s1	1
Total	66	67	7	1949	0.9041	0.0332	0.064	91.8506300000001	toilvg	calls	s1	1
