type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
INV	0	0	0	410	NA	0	NA	209.363	toilvg	calls	s1	1
Total	53	53	23	1198	0.6974	0.0424	0.0799	0	svtyper	calls	s1	1
INS	0	0	0	413	NA	0	NA	0	svtyper	calls	s1	1
DEL	18	18	6	410	0.75	0.0421	0.0797	0	svtyper	calls	s1	1
INV	35	35	17	375	0.6731	0.0854	0.1516	0	svtyper	calls	s1	1
Total	53	53	23	1198	0.6974	0.0424	0.0799	2	svtyper	calls	s1	1
INS	0	0	0	413	NA	0	NA	2	svtyper	calls	s1	1
DEL	18	18	6	410	0.75	0.0421	0.0797	2	svtyper	calls	s1	1
INV	35	35	17	375	0.6731	0.0854	0.1516	2	svtyper	calls	s1	1
Total	12	12	3	1239	0.8	0.0096	0.019	5	svtyper	calls	s1	1
INS	0	0	0	413	NA	0	NA	5	svtyper	calls	s1	1
DEL	4	4	0	424	1	0.0093	0.0184	5	svtyper	calls	s1	1
INV	8	8	3	402	0.7273	0.0195	0.038	5	svtyper	calls	s1	1
Total	5	5	0	1246	1	0.004	0.008	7	svtyper	calls	s1	1
INS	0	0	0	413	NA	0	NA	7	svtyper	calls	s1	1
DEL	3	3	0	425	1	0.007	0.0139	7	svtyper	calls	s1	1
INV	2	2	0	408	1	0.0049	0.0098	7	svtyper	calls	s1	1
Total	0	0	0	1251	NA	0	NA	17	svtyper	calls	s1	1
INS	0	0	0	413	NA	0	NA	17	svtyper	calls	s1	1
DEL	0	0	0	428	NA	0	NA	17	svtyper	calls	s1	1
INV	0	0	0	410	NA	0	NA	17	svtyper	calls	s1	1
Total	55	55	17	1196	0.7639	0.044	0.0832	0	delly	calls	s1	1
INS	30	30	11	383	0.7317	0.0726	0.1321	0	delly	calls	s1	1
DEL	25	25	6	403	0.8065	0.0584	0.1089	0	delly	calls	s1	1
INV	0	0	0	410	NA	0	NA	0	delly	calls	s1	1
Total	55	55	17	1196	0.7639	0.044	0.0832	5	delly	calls	s1	1
INS	30	30	11	383	0.7317	0.0726	0.1321	5	delly	calls	s1	1
DEL	25	25	6	403	0.8065	0.0584	0.1089	5	delly	calls	s1	1
INV	0	0	0	410	NA	0	NA	5	delly	calls	s1	1
Total	26	26	9	1225	0.7429	0.0208	0.0405	7	delly	calls	s1	1
INS	16	16	7	397	0.6957	0.0387	0.0733	7	delly	calls	s1	1
